title,year,genres,duration,directors,actors,rating
tt3104988,2018,"Comedy, Drama, Romance",120,nm0160840,"nm2090422, nm6525901, nm0000706, nm2110418, nm0523734",6.9
tt4846340,2016,"Biography, Drama, History",127,nm0577647,"nm0378245, nm0818055, nm1847117",7.8
