title,year,duration,rating,genres,actors,directors
tt3104988,2018,120,6.9,"Comedy, Drama, Romance","nm2090422, nm6525901, nm0000706, nm2110418, nm0523734",nm0160840
tt4846340,2016,127,7.8,"Biography, Drama, History","nm0378245, nm0818055, nm1847117",nm0577647
